lon,lat,BO_sstmean,BO_sstrange,BO2_salinitymean_ss,BO2_ppmean_ss,BO2_pprange_ss
30.487,36.388,22.277555465698242,12.79533322652181,39.229408264160156,0.0035532125427077212,0.0076277545239362456
30.487,36.368,22.27649998664856,12.800249934196472,39.229408264160156,0.003418761625653133,0.007339338364545256
30.529,36.337,22.260099983215333,12.753899955749512,39.22676086425781,0.003201244375668466,0.006770872976630926
4.295,39.803,19.26599998474121,12.597599983215332,37.25131607055664,6.319805339444429e-4,0.0026745951268821954
4.288,39.8,19.26599998474121,12.597599983215332,37.25131607055664,6.319805339444429e-4,0.0026745951268821954
4.22,39.822,19.239444308810764,12.733666631910536,37.251407623291016,6.286727406808899e-4,0.0026778015308082104
4.227,39.821,19.239444308810764,12.733666631910536,37.251407623291016,6.286727406808899e-4,0.0026778015308082104
4.282,39.801,19.271222220526802,12.600666681925455,37.25131607055664,6.285065254713926e-4,0.0026473073650979334
4.238,39.814,19.239444308810764,12.733666631910536,37.251407623291016,6.286727406808899e-4,0.0026778015308082104
23.785,39.108,19.01660022735596,12.745699977874756,34.21953201293945,8.157990174368024e-4,0.0017622925690375269
23.779,39.101,19.021636616099965,12.749909054149281,34.21953201293945,8.821492083370686e-4,0.0018600185338238423
23.829,39.152,18.974900245666504,12.601700019836425,34.21953201293945,6.828762940131128e-4,0.00159221749054268
23.841,39.158,18.974900245666504,12.601700019836425,34.181068420410156,6.828762940131128e-4,0.00159221749054268
23.872,39.172,18.994100189208986,12.6125,34.14944076538086,6.45939790410921e-4,0.001574760745279491
23.867,39.203,18.981200218200684,12.616100025177001,34.14944076538086,6.30951242055744e-4,0.0015715485904365778
26.546,39.322,18.707555558946396,10.993666860792372,37.247798919677734,0.008677386057873568,0.0167538465725051
26.593,39.335,18.642636385830965,10.885909253900701,36.41514205932617,0.008491116237233986,0.016433922573924065
26.568,39.333,18.642636385830965,10.885909253900701,37.247798919677734,0.008491116237233986,0.016433922573924065
26.563,39.336,18.6371000289917,10.906000137329102,36.305458068847656,0.008366865944117308,0.016253495961427687
26.59,39.358,18.630888832939995,10.930555661519369,36.41514205932617,0.00824261787864897,0.016086173554261524
26.53,39.332,18.74020004272461,10.950000095367432,37.247798919677734,0.008059935038909316,0.015841031912714243
2.958,39.126,19.553454312411223,12.609454501758922,36.97956848144531,5.210710752924734e-4,0.0015694991346787322
2.961,39.138,19.553454312411223,12.609454501758922,36.97956848144531,5.210710752924734e-4,0.0015694991346787322
2.978,39.169,19.52854520624334,12.63309097290039,36.99774932861328,5.193062190135771e-4,0.0015769978794692593
2.978,39.205,19.524899673461913,12.646800136566162,36.99774932861328,5.211600102484227e-4,0.001605575904250145
2.929,39.13,19.55672697587447,12.59618178280917,36.97956848144531,5.229885732247071e-4,0.0015866333322430198
2.924,39.133,19.55672697587447,12.59618178280917,36.97956848144531,5.229885732247071e-4,0.0015866333322430198
8.085,40.362,18.745000145652078,11.348545334555887,37.641334533691406,6.947294962380759e-4,0.0028549872804433107
8.084,40.361,18.764000129699706,11.388999843597412,37.641334533691406,6.802285584853962e-4,0.0028294313000515104
8.233,40.569,18.48633321126302,11.36011102464464,37.66645431518555,7.695137691270146e-4,0.0031085633931474555
8.23,40.569,18.48633321126302,11.36011102464464,37.66645431518555,7.695137691270146e-4,0.0031085633931474555
8.185,39.113,18.8841816295277,11.201454422690652,37.56618881225586,5.244970512153072e-4,0.0021981377980079164
8.16,39.109,18.890099716186523,11.208899879455567,37.549869537353516,5.221746396273375e-4,0.0021940908045507967
8.132,39.087,18.894454262473367,11.214181726629084,37.549869537353516,5.213458948260682e-4,0.002205614392137663
8.138,39.085,18.894454262473367,11.214181726629084,37.549869537353516,5.213458948260682e-4,0.002205614392137663
8.147,39.076,18.886272603815254,11.220909031954678,37.54766845703125,5.1772847390649e-4,0.0022289559393274512
8.149,39.065,18.87679977416992,11.225199890136718,37.54766845703125,5.190875090193003e-4,0.002254748751875013
4.1,40.085,19.177499771118164,12.732100009918213,37.385555267333984,7.618705974891781e-4,0.003074888582341373
4.096,40.085,19.177499771118164,12.732100009918213,37.385555267333984,7.618705974891781e-4,0.003074888582341373
4.08,40.091,19.177499771118164,12.732100009918213,37.37805938720703,7.618705974891781e-4,0.003074888582341373
4.094,40.074,19.17549991607666,12.702125072479248,37.366703033447266,7.346766069531441e-4,0.0029503247351385653
4.033,40.069,19.219110912746853,12.720222155253092,37.356441497802734,7.046929353641139e-4,0.002748827294756969
4.125,40.059,19.15644433763292,12.775888866848415,37.366703033447266,7.298583255356385e-4,0.0030158020349012483
3.231,42.245,16.92549991607666,10.723399925231934,37.73844909667969,0.0025831097271293403,0.006468016561120749
3.237,42.247,16.92390910061923,10.673727208917791,37.73844909667969,0.0025928802364929156,0.006496013861826875
