site,lon,lat,Abudefduf.saxatilis,Anthias.anthias,Apogon.imberbis,Atherina.boyeri,Atherina.spp,Balistes.capriscus,Belone.belone,Belonidae,Boops.boops,Caranx.crysos,Cheilodipterus.novemstriatus,Chelon.labrosus,Chromis.chromis,Clupeidae,Conger.conger,Coris.julis,Ctenolabrus.rupestris,Dactylopterus.volitans,Dasyatis.pastinaca,Dentex.dentex,Dicentrarchus.labrax,Dicentrarchus.punctatus,Diplodus.annularis,Diplodus.cervinus,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.aeneus,Epinephelus.caninus,Epinephelus.costae,Epinephelus.marginatus,Fistularia.commersonii,Gobius.auratus,Gobius.bucchichi,Gobius.cobitis,Gobius.cruentatus,Gobius.geniporus,Gobius.paganellus,Gobius.vittatus,Gobius.xanthocephalus,Herklotsichthys.punctatus,Labridae,Labrus.merula,Labrus.mixtus,Labrus.viridis,Lagocephalus.sceleratus,Lichia.amia,Lithognathus.mormyrus,Liza.aurata,Mugil.cephalus,Mullus.barbatus,Mullus.surmuletus,Muraena.helena,Mycteroperca.rubra,Myliobatis.aquila,Oblada.melanura,Oedalechilus.labeo,Pagellus.acarne,Pagrus.caeruleostictus,Pagrus.pagrus,Parablennius.gattorugine,Parablennius.incognitus,Parablennius.pilicornis,Parablennius.rouxi,Parablennius.sanguinolentus,Parablennius.tentacularis,Parablennius.zvonimiri,Parupeneus.forsskali,Pempheris.vanicolensis,Phycis.phycis,Plotosus.lineatus,Pomadasys.incisus,Pomatomus.saltatrix,Pomatoschistus.quagga,Pseudocaranx.dentex,Pteragogus.pelycus,Pterois.miles,Sardina.pilchardus,Sargocentron.rubrum,Sarpa.salpa,Scartella.cristata,Scarus.ghobban,Sciaena.umbra,Scorpaena.maderensis,Scorpaena.notata,Scorpaena.porcus,Scorpaena.scrofa,Seriola.dumerili,Serranus.cabrilla,Serranus.hepatus,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Sparisoma.cretense,Sparus.aurata,Sphyraena.chrysotaenia,Sphyraena.sphyraena,Sphyraena.viridensis,Spicara.maena,Spicara.smaris,Spondyliosoma.cantharus,Stephanolepis.diaspros,Symphodus.cinereus,Symphodus.doderleini,Symphodus.mediterraneus,Symphodus.melanocercus,Symphodus.ocellatus,Symphodus.roissali,Symphodus.rostratus,Symphodus.spp.,Symphodus.tinca,Synodus.saurus,Taeniura.grabata,Thalassoma.pavo,Torquigener.flavimaculosus,Trachinotus.ovatus,Trachinus.draco,Trachurus.mediterraneus,Tripterygion.delaisi,Tripterygion.melanurus,Tripterygion.tripteronotus,Trisopterus.minutus
Asinara,8.24,41.049,0,0,0,0,0,0,0,0,0,0,0,0,2165,0,0,225,0,0,0,31,0,0,7,0,11,90,239,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,41,0,17,6,0,0,267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,4,0,1,0,0,4,56,0,11,0,0,0,0,0,0,0,426,0,45,0,0,0,4,1,1,21,0,0,78,0,0,18,0,0,0,0,0,0,1,0
Asinara,8.349,41.091,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,87,0,0,0,9,0,0,1,0,7,98,118,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,7,0,0,0,0,0,25,0,12,0,0,0,2,0,0,150,96,0,0,0,0,0,3,3,0,16,3,0,149,0,0,37,0,0,0,0,0,0,1,0
ASINARA_add,7.898180497,41.07740853,0,0,1,10,0,0,0,0,0,0,0,0,12,0,0,27,0,0,0,0,0,0,28,0,16,30,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,7,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,2,23,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,31,0,0,59,0,0,0,0,0,0,0,0
ASINARA_add,8.155,41,0,0,2,5,0,0,0,0,0,0,0,0,7,0,0,36,0,0,0,5,2,0,5,0,2,26,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,7,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,51,0,0,16,0,0,0,0,0,1,0,0
ASINARA_add,8.194,41.062,0,0,1,9,0,0,0,0,0,0,0,0,19,0,0,38,0,0,0,2,3,0,16,0,8,24,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,28,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,47,0,0,41,0,0,0,0,0,3,0,0
ASINARA_add,8.195,41.825,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,61,0,0,0,0,1,0,9,0,3,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,2,0,59,0,0,35,0,0,0,0,2,0,1,0
ASINARA_add,8.201,41.043,0,0,3,6,0,0,0,0,0,0,0,0,7,0,0,26,0,0,0,0,3,0,13,0,9,25,6,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,2,0,1,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,23,5,0,50,0,0,41,0,0,0,0,2,1,6,0
ASINARA_add,8.204,41.055,0,0,5,13,0,0,0,0,0,0,0,0,14,0,0,50,0,0,0,2,1,0,21,0,12,37,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,16,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,48,0,0,57,0,0,0,0,0,0,0,0
ASINARA_add,8.212,41.005,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,37,0,0,0,1,2,0,18,0,6,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,36,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,28,0,0,38,0,0,0,0,0,0,0,0
ASINARA_add,8.217,41.024,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,24,0,0,0,1,0,0,19,0,14,26,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,2,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,40,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,24,0,0,41,0,0,0,0,0,0,0,0
ASINARA_add,8.217,41.121,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,34,0,0,0,1,0,0,15,0,6,35,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,28,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,26,0,0,48,0,0,0,0,0,1,0,0
ASINARA_add,8.24,41.049,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0
