"","SpecCode","Species","autoctr","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"74",6470,"Epinephelus marginatus",9015,6792,108834,"male",NA,NA,49726,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Mediterranean (1994-1996)","724",13,NA,2,2016-06-21 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"75",1005,"Seriola dumerili",3526,1021,33239,"female",3,5,33239,4,NA,NA,NA,NA,NA,NA,80,127,"SL",33239,109,NA,NA,NA,NA,"Pelagie Islands (1990-1992)","380",NA,"50% of fish attained maturity at a median standard length of 109 cm (Ref. 33239).",2,2001-11-15 00:00:00,2,2016-06-21 00:00:00,NA,NA,NA
"76",1005,"Seriola dumerili",3527,1021,33239,"male",2,5,33239,3.5,NA,NA,NA,NA,NA,NA,61,127,"SL",33239,113,NA,NA,NA,NA,"Pelagie Islands (1990-1992)","380",NA,"50% of fish attained maturity at a median standard length of 113 cm (Ref. 33239).",2,2001-11-15 00:00:00,2,2016-06-21 00:00:00,NA,NA,NA
"77",1005,"Seriola dumerili",4917,1021,54745,"mixed",3,5,54745,NA,NA,NA,NA,NA,NA,NA,75,107,"TL",54745,NA,NA,NA,NA,NA,"Donji Molunat Bay, Adriatic Sea, 1997","191",NA,NA,3,2005-07-29 00:00:00,NA,2005-07-29 00:00:00,NA,NA,NA
"78",1005,"Seriola dumerili",9310,1021,113943,"female",NA,NA,113943,4,NA,NA,NA,NA,NA,NA,NA,NA,"FL",113943,90,NA,NA,NA,NA,"entire Gulf of Mexico, 1990-2008",NA,144,NA,3,2017-01-19 00:00:00,NA,2017-01-19 00:00:00,NA,NA,NA
"79",NA,"Symphodus melanocercus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1729,"Muraena helena",8574,1925,58348,"female",NA,NA,58348,7.09999990463257,16,0.8276,NA,NA,NA,NA,NA,NA,"TL",NA,75.0999984741211,NA,NA,NA,NA,"Fishing ports (1985-1994)","724A",8,NA,2,2015-01-12 00:00:00,NA,2015-01-12 00:00:00,NA,NA,NA
"81",1729,"Muraena helena",8576,1925,98745,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5999984741211,NA,"TL",98745,76,NA,NA,NA,NA,"Dubrovnik, Elafiti Archipelago, Mljet and Sveti Andrija islands (Oct 2009-Dec 2010)","191",546,NA,2,2015-01-14 00:00:00,NA,2015-01-14 00:00:00,NA,NA,NA
"82",1729,"Muraena helena",8577,1925,98745,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",98745,79,NA,NA,NA,NA,"Dubrovnik, Elafiti Archipelago, Mljet and Sveti Andrija islands (Oct 2009-Dec 2010)","191",546,NA,2,2015-01-14 00:00:00,NA,2015-01-14 00:00:00,NA,NA,NA
"83",1707,"Sciaena umbra",1664,1903,9505,"female",NA,NA,9505,3,NA,NA,NA,NA,NA,NA,NA,NA,"TL",9505,25,NA,NA,NA,NA,"W. Mediterranean, Northern Tunisia","788",NA,NA,32,1995-07-02 00:00:00,21,1995-11-06 00:00:00,119,1995-11-06,NA
