"","country","site","lat","lon","protection","enforcement"
"209","Croatia","kornati",43.66942,15.56358,"Protected","1"
"210","Croatia","kornati",43.85231,15.48009,"Protected","1"
"211","Croatia","kornati",43.69547,15.44273,"Protected","1"
"212","Croatia","kornati",43.73887,15.37992,"Protected","1"
"213","Croatia","kornati",43.76959,15.31747,"Protected","1"
"214","Croatia","kornati",43.73489,15.38608,"Protected","1"
"215","Croatia","kornati",43.68998,15.55584,"Protected","1"
"216","Croatia","kornati",43.77509,15.62079,"Protected","1"
"217","Croatia","kornati",43.88942,15.47282,"Protected","1"
"218","Croatia","kornati",43.91093,15.46749,"Protected","1"
"219","Croatia","miljet",42.77223,17.33153,"Protected","1"
"220","Croatia","miljet",42.76898,17.34708,"Protected","1"
"221","Croatia","miljet",42.78445,17.32148,"Protected","1"
"222","Croatia","miljet",42.79141,17.4219,"Protected","1"
"223","Croatia","miljet",42.79487,17.4111,"Protected","1"
"224","Croatia","miljet",42.80703,17.35969,"Protected","1"
"225","Croatia","miljet",42.7034,17.74525,"Protected","1"
"226","Croatia","miljet",42.78709,17.43478,"Protected","1"
"227","Croatia","miljet",42.73979,17.62165,"Protected","1"
"228","Croatia","miljet",42.77649,17.46511,"Protected","1"
"229","Italy","marettimo",37.98362,12.08078,"Protected","2"
"230","Italy","ustica",38.71068,13.15419,"Protected","2"
"231","Italy","san_vito",38.15865,12.77276,"Not protected","0"
"232","France","500m_s_of_harbor",42.47317,3.166758,"Protected","3"
"233","France","outside_reseve",42.47317,3.166758,"Not protected","0"
"234","Greece","assecret1210191",35.41562,24.98816,"Not protected","0"
"235","Greece","assecret1310191",35.251846,25.758577,"Not protected","0"
"236","Greece","assecret1310192",35.231754,25.739887,"Not protected","0"
"237","Greece","assecret1310193",35.251892,25.75831,"Not protected","0"
"238","Greece","assecret1410191",35.17217,24.39293,"Not protected","0"
"239","Greece","assecret1410192",35.17072,24.409021,"Not protected","0"
"240","Greece","assecret1410193",35.154884,24.441713,"Not protected","0"
"241","Greece","assecret1610191",35.166004,24.419214,"Not protected","0"
"242","Greece","assecret1610192",35.177162,24.392876,"Not protected","0"
"243","Greece","assecret1610193",35.183475,24.355742,"Not protected","0"
"244","Greece","assecret1810191",35.008705,24.590063,"Not protected","0"
"245","Greece","assecret1810192",35.001724,24.580944,"Not protected","0"
"246","Greece","assecret1810193",35.00729,24.597233,"Not protected","0"
"247","Greece","assecret1910191",35.25428,25.758797,"Not protected","0"
"248","Greece","assecret1910192",35.230244,25.738451,"Not protected","0"
"249","Greece","assecret1910193",35.22478,25.731836,"Not protected","0"
"250","Greece","assecret2010191",35.416767,25.019144,"Not protected","0"
"251","Greece","assecret2010192",35.41495036,25.02150683,"Not protected","0"
